,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,
players,Kevin,Huerter,SG,21,204,190,0,63,0.9,1.3,0.78,5,0.44,6,0.40,0.9,53,3.2,64,3.4,65,71,0.9,0.4,67,,,,,,

players,Trae,Young,PG,21,186,180,0,62,4.9,9.5,0.87,12,0.41,9.5,0.40,0.7,75,3.7,82,9.6,75,72,1.5,0.2,88,HH,,,,,

players,Cam,Reddish,SG,20,207,218,0,66,1.6,2.4,0.80,5.2,0.38,4.2,0.32,0.7,55,3,64,1.8,62,72,1.3,0.5,70,R,,,,,

players,DeAndre,Bembry,SF,25,198,210,0,62,1.4,1.3,0.65,4.5,0.58,1.5,0.24,1,38,2.9,53,2,70,54,1.5,0.4,65,,,,,,

players,Dewayne,Dedmon,C,30,214,245,0,73,1.2,1.4,0.78,3.4,0.55,2.5,0.26,1.5,54,4,38,0.6,64,45,0.5,0.8,58,,,,,,

players,Skal,Labissiere,PF,25,212,235,0,62,1,1.4,0.75,4.2,0.52,0.8,0.34,1.7,"58
",3,53,1.2,77,68,0.3,0.8,63,,,,,,

players,Jeff,Teague,PG,31,192,195,0,68,2,2.7,0.86,4.3,0.47,1.7,0.34,0.4,56,1.9,66,5.1,80,59,1.1,0.3,80,SP,,,,,

players,Vince,Carter,SG,43,201,180,0,72,1.1,2.3,0.79,6.4,0.40,3.7,0.34,0.7,70,2.5,66,2,92,48,0.7,0.6,74,HF,,,,,

players,Brandon,Goodwin,PG,24,183,200,0,57,0.8,1.3,0.85,2.9,0.40,2.4,0.33,0.4,12,1.6,55,1.4,69,75,0.5,0.3,72,,,,,,

players,Bruno,Fernando,PF,21,190,240,0,59,0.9,1.3,0.65,2.8,0.43,1.4,0.20,1.5,20,2.3,40,1,65,71,0.3,0.5,67,R,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Daniel,Theis,C,27,207,245,1,71,0.8,1.8,0.74,3.9,0.43,1.9,0.33,2,59,3.6,53,1.4,70,66,0.6,1.1,66,,,,,,

players,Jayson,Tatum,PF,22,207,210,1,69,1.9,4,0.82,11,0.45,5.5,0.39,1,72,5.5,63,2.5,85,75,1.2,1,75,,,,,,

players,Gordon,Hayward,SF,29,204,225,1,70,2,3.7,0.84,9.5,0.41,4.2,0.38,1,70,4.7,67,3.8,70,63,0.9,0.4,70,SP,,,,,

players,Jaylen,Brown,SG,24,201,223,1,81,1.6,3.7,0.71,10.1,0.42,4.8,0.38,1,68,4.8,75,1.8,72,70,1,0.3,72,,,,,,

players,Kemba,Walker,PG,29,184,184,1,70,2.2,4.6,0.85,8.1,0.39,7.4,0.37,0.7,75,3.3,90,5.2,85,68,1.2,0.4,90,HH,,,,,

players,Marcus,Smart,SG,26,192,220,1,80,1.6,3.2,0.79,5.1,0.37,6.2,0.33,0.8,49,2.8,66,4.4,69,63,1.6,0.5,70,PT,,,,,

players,Enes,Kanter,C,27,212.5,250,1,64,1.3,2.2,0.74,6.4,0.56,0.5,0.30,2.9,52,5,31,1,70,65,0.4,0.6,54,IH,,,,,

players,Semi,Ojeleye,SF,25,201.2,240,1,61,0.7,1,0.75,1.7,0.36,2.2,0.34,0.7,28,2,59,0.8,73,56,0.5,0.5,77,,,,,,

players,Brad,Wanamaker,PG,30,192,210,1,60,1,2.4,0.90,3.5,0.41,2.2,0.36,0.2,25,1.6,64,2.4,65,52,0.6,0.2,71,,,,,,

players,Grant,Williams,PF,21,201,236,1,68,1,1.2,0.72,2.2,0.35,2,0.32,1.3,25,2,50,1,70,68,0.6,0.8,65,R,,,,,

players,Carsen,Edwards,PG,21,180,200,1,58,0.7,1.4,0.80,2,0.32,2.4,0.33,0.4,33,1.3,64,1,65,63,0.6,0.3,77,R,,,,,

players,Robert,Williams III,C,22,207,237,1,64,2,1,0.62,2.4,0.67,0.7,0.25,1.1,"25
",3,35,0.8,65,70,1,1.2,55,,,,,,

players,Romeo,Langford,SG,20,195,216,1,60,0.5,1,0.75,1.5,0.35,1,0.35,0.5,40,1,60,0.5,65,67,0.5,0.5,85,R,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Jarrett,Allen,C,22,212,243,2,80,1.2,3.4,0.67,6.6,0.62,0.5,0.25,2.7,55,6,45,1.2,80,65,0.7,1.5,65,,,,,,

